NO,MValue,SValue,MValue_Mean,SValue_Mean,MValue_Analyze,SValue_Analyze
1,0.0,1.168,,,,
2,46.56,1.186,,,,
3,46.58,1.24,,,,
4,46.38,1.24,,,,
5,46.38,1.379,,,,
6,45.05,1.467,,,,
7,44.1,1.467,,,,
8,44.1,1.552,,,,
9,43.21,1.552,,,,
10,43.21,1.645,,,,
11,42.77,1.715,,,,
12,42.76,1.715,40.925000000000004,1.4438333333333333,,
13,42.76,1.777,44.48833333333334,1.4945833333333336,,
14,43.03,1.777,44.19416666666667,1.5438333333333334,,10.0
15,43.03,1.83,43.89833333333333,1.593,59.0,9.8
16,43.26,1.861,43.63833333333334,1.6447500000000002,55.60000000000001,10.100000000000001
17,43.26,1.861,43.37833333333334,1.6849166666666664,52.0,9.2
18,43.26,1.901,43.229166666666664,1.7210833333333333,40.9,7.6
19,43.27,1.933,43.16,1.759916666666667,21.8,7.5
20,43.52,1.933,43.11166666666666,1.7916666666666667,11.799999999999999,7.1
21,43.52,1.977,43.137499999999996,1.8270833333333334,2.3,6.7
22,43.54,1.977,43.165,1.85475,5.3,6.3
23,43.54,2.018,43.229166666666664,1.88,9.2,5.3
24,43.64,2.037,43.3025,1.9068333333333332,13.8,5.2
25,43.5,2.037,43.36416666666667,1.9284999999999999,13.5,4.8
26,43.5,2.036,43.403333333333336,1.9500833333333334,10.100000000000001,4.3
27,43.23,2.064,43.419999999999995,1.9695833333333332,5.6000000000000005,4.1000000000000005
28,43.52,2.064,43.44166666666666,1.9864999999999997,3.8,3.5999999999999996
29,43.52,2.077,43.46333333333334,2.0045,4.3,3.5000000000000004
30,43.5,2.077,43.48333333333334,2.0191666666666666,4.2,3.3000000000000003
31,43.5,2.076,43.5025,2.031083333333333,3.9,2.7
32,43.42,2.089,43.49416666666667,2.0440833333333335,1.0999999999999999,2.5
33,43.5,2.089,43.49250000000001,2.0534166666666667,1.0,2.1999999999999997
34,43.5,2.104,43.48916666666667,2.064,0.5,2.0
35,43.67,2.109,43.5,2.0715833333333333,0.7000000000000001,1.7999999999999998
36,43.69,2.109,43.50416666666666,2.0775833333333336,1.5,1.4000000000000001
37,43.69,2.128,43.52,2.0851666666666664,2.0,1.4000000000000001
38,43.78,2.128,43.54333333333333,2.0928333333333335,3.9,1.5
39,43.78,2.128,43.589166666666664,2.0981666666666667,6.9,1.3
40,43.7,2.138,43.604166666666664,2.1043333333333334,6.1,1.0999999999999999
41,43.61,2.138,43.61166666666667,2.1094166666666667,2.3,1.0999999999999999
42,43.61,2.143,43.62083333333334,2.114916666666667,1.7000000000000002,1.0999999999999999
43,43.64,2.164,43.6325,2.12225,2.1,1.3
44,43.79,2.164,43.663333333333334,2.1285,4.2,1.4000000000000001
45,43.79,2.173,43.6875,2.1355,5.5,1.3
46,43.81,2.173,43.71333333333333,2.14125,5.0,1.3
47,43.81,2.184,43.725,2.1475,3.8,1.2
48,43.82,2.185,43.73583333333334,2.1538333333333335,2.3,1.3
49,43.66,2.185,43.73333333333333,2.1585833333333335,0.8,1.0999999999999999
50,43.66,2.185,43.723333333333336,2.1633333333333336,1.3,1.0
51,43.48,2.185,43.69833333333333,2.1680833333333336,3.5000000000000004,1.0
52,43.48,2.185,43.68,2.172,4.3,0.8999999999999999
53,43.47,2.201,43.66833333333333,2.1772500000000004,3.0,0.8999999999999999
54,43.57,2.201,43.665,2.1820833333333334,1.5,1.0
55,43.57,2.21,43.659166666666664,2.1859166666666665,0.8999999999999999,0.8999999999999999
56,43.59,2.212,43.642500000000005,2.189916666666667,2.1999999999999997,0.8
57,43.6,2.212,43.626666666666665,2.193166666666667,3.2,0.7000000000000001
58,43.6,2.213,43.60916666666666,2.1965,3.3000000000000003,0.7000000000000001
59,43.61,2.213,43.5925,2.198916666666667,3.4000000000000004,0.6
60,43.61,2.229,43.574999999999996,2.2025833333333336,3.4000000000000004,0.6
61,43.73,2.235,43.58083333333334,2.20675,1.2,0.8
62,43.71,2.235,43.585,2.210916666666667,1.0,0.8
63,43.71,2.235,43.604166666666664,2.2150833333333337,2.3,0.8
64,43.7,2.235,43.6225,2.21925,3.8,0.8
65,43.33,2.235,43.61083333333334,2.2220833333333334,0.7000000000000001,0.7000000000000001
66,43.33,2.24,43.590833333333336,2.2253333333333334,3.2,0.6
67,43.44,2.24,43.580000000000005,2.2278333333333333,3.1,0.6
68,43.44,2.242,43.567499999999995,2.2303333333333333,2.3,0.5
69,43.53,2.243,43.56166666666667,2.2329166666666667,1.7999999999999998,0.5
70,43.55,2.243,43.5575,2.235416666666667,1.0,0.5
71,43.55,2.244,43.5525,2.238,0.8999999999999999,0.5
72,43.62,2.25,43.553333333333335,2.2397500000000004,0.4,0.4
73,43.64,2.25,43.54583333333333,2.241,0.7000000000000001,0.3
74,43.64,2.25,43.54,2.24225,1.3,0.2
75,43.65,2.25,43.535,2.2435,1.0999999999999999,0.2
76,43.65,2.25,43.530833333333334,2.2447500000000002,0.8999999999999999,0.3
77,43.66,2.251,43.55833333333334,2.2460833333333334,2.3,0.3
78,43.68,2.251,43.5875,2.2470000000000003,5.7,0.2
79,43.68,2.26,43.607499999999995,2.2486666666666664,4.9,0.3
80,43.69,2.26,43.62833333333333,2.2501666666666664,4.1000000000000005,0.3
81,43.69,2.26,43.64166666666666,2.251583333333333,3.4000000000000004,0.3
82,43.75,2.261,43.65833333333333,2.253083333333333,3.0,0.3
83,43.76,2.261,43.67583333333334,2.2544999999999997,3.4000000000000004,0.3
84,43.76,2.261,43.6875,2.2554166666666666,2.9000000000000004,0.2
85,43.78,2.267,43.69916666666666,2.2568333333333332,2.3,0.2
86,43.86,2.267,43.7175,2.25825,3.0,0.3
87,43.86,2.268,43.73500000000001,2.25975,3.5999999999999996,0.3
88,43.87,2.268,43.75333333333333,2.26125,3.5999999999999996,0.3
89,43.87,2.269,43.770833333333336,2.26275,3.5999999999999996,0.3
90,43.88,2.27,43.7875,2.264333333333333,3.4000000000000004,0.3
91,43.89,2.27,43.805,2.265166666666667,3.4000000000000004,0.2
92,43.89,2.274,43.821666666666665,2.2663333333333333,3.4000000000000004,0.2
93,43.91,2.297,43.839999999999996,2.269416666666667,3.5000000000000004,0.4
94,44.2,2.297,43.8775,2.2724166666666665,5.6000000000000005,0.6
95,44.2,2.295,43.91416666666667,2.27525,7.3999999999999995,0.6
96,44.19,2.295,43.949999999999996,2.2780833333333335,7.199999999999999,0.6
97,44.19,2.295,43.98416666666666,2.280416666666667,7.000000000000001,0.5
98,44.19,2.299,44.01166666666666,2.2830833333333334,6.2,0.5
99,44.18,2.299,44.038333333333334,2.2856666666666667,5.4,0.5
100,44.18,2.304,44.064166666666665,2.2886666666666664,5.3,0.6
101,44.19,2.305,44.090833333333336,2.2916666666666665,5.3,0.6
102,44.27,2.305,44.123333333333335,2.294583333333333,5.8999999999999995,0.6
103,44.27,2.304,44.155,2.2974166666666664,6.4,0.6
104,44.27,2.304,44.18666666666667,2.299916666666667,6.3,0.5
105,44.27,2.305,44.21666666666667,2.3005833333333334,6.2,0.3
106,44.28,2.305,44.223333333333336,2.30125,3.6999999999999997,0.1
107,44.29,2.305,44.23083333333333,2.3020833333333335,1.4000000000000001,0.2
108,44.29,2.305,44.23916666666667,2.302916666666667,1.6,0.2
109,44.29,2.323,44.2475,2.30525,1.7000000000000002,0.3
110,44.45,2.323,44.26916666666667,2.30725,3.0,0.4
111,44.45,2.328,44.291666666666664,2.3096666666666668,4.3999999999999995,0.4
112,44.46,2.328,44.315,2.311666666666667,4.6,0.4
113,44.46,2.348,44.337500000000006,2.3152500000000003,4.6,0.6
114,44.38,2.353,44.346666666666664,2.3192500000000003,3.2,0.8
115,44.41,2.353,44.35833333333333,2.3233333333333333,2.1,0.8
116,44.41,2.354,44.370000000000005,2.3275,2.3,0.8
117,44.42,2.354,44.3825,2.3315833333333336,2.4,0.8
118,44.42,2.354,44.39416666666667,2.3356666666666666,2.4,0.8
119,44.43,2.355,44.405833333333334,2.3398333333333334,2.3,0.8
120,44.44,2.355,44.41833333333333,2.344,2.4,0.8
121,44.44,2.355,44.43083333333333,2.3466666666666667,2.5,0.7000000000000001
