NO,MValue,SValue
1,0.00,0.13
2,0.00,0.13
3,0.00,0.13
4,0.00,0.13
5,0.00,0.13
6,0.00,0.13
7,0.00,0.13
8,0.00,0.13
9,0.00,0.13
10,0.00,0.13
11,0.00,0.13
12,0.00,0.13
13,0.00,0.13
14,0.00,0.13
15,0.00,0.13
16,0.00,0.13
17,0.00,0.13
18,0.00,0.13
19,0.00,0.13
20,0.00,0.13
21,0.00,0.13
22,0.00,0.13
23,0.00,0.13
24,0.00,0.13
25,0.00,0.13
26,0.00,0.13
27,0.00,0.13
28,0.00,0.13
29,0.00,0.13
30,0.00,0.13
31,0.00,0.13
32,0.00,0.13
33,0.00,0.13
34,0.00,0.13
35,0.00,0.13
36,0.00,0.13
37,0.00,0.13
38,0.00,0.13
39,0.00,0.13
40,0.00,0.13
41,0.00,0.13
42,0.00,0.13
43,0.00,0.13
44,0.00,0.13
45,0.00,0.13
46,0.00,0.13
47,0.00,0.13
48,0.00,0.13
49,0.00,0.13
50,0.00,0.13
51,0.00,0.13
52,0.00,0.13
53,0.00,0.13
54,0.00,0.13
55,0.00,0.13
56,0.00,0.13
57,0.00,0.13
58,0.00,0.13
59,0.00,0.13
60,0.00,0.13
61,0.00,0.13
62,0.00,0.13
63,0.00,0.13
64,0.00,0.13
65,0.00,0.13
66,0.00,0.13
67,0.00,0.13
68,0.00,0.13
69,0.00,0.13
70,0.00,0.13
71,0.00,0.13
