NO,MValue,SValue
1,1.92887e-05,0.922429
2,1.85022e-05,0.949729
3,1.7775e-05,0.975979
4,1.70802e-05,1.00619
5,1.59148e-05,1.05899
6,1.54681e-05,1.07701
7,1.47958e-05,1.11175
8,1.40813e-05,1.14819
9,1.36083e-05,1.17384
10,1.32281e-05,1.19597
11,1.2618e-05,1.23404
12,1.23319e-05,1.25258
13,1.1934e-05,1.28033
14,1.17152e-05,1.29487
15,1.15058e-05,1.31172
16,1.12812e-05,1.32999
17,1.11945e-05,1.33585
18,1.10394e-05,1.34715
19,1.08973e-05,1.35849
20,1.0819e-05,1.36301
21,1.06457e-05,1.37879
22,1.05334e-05,1.38778
23,1.04706e-05,1.39461
24,1.03806e-05,1.40055
25,1.02681e-05,1.4088
26,1.02292e-05,1.41306
27,1.01848e-05,1.41693
28,1.0108e-05,1.42413
29,1.00413e-05,1.43028
30,9.95799e-06,1.43763
31,9.88941e-06,1.44477
32,9.8347e-06,1.44925
33,9.81763e-06,1.44972
34,9.80845e-06,1.45024
35,9.69499e-06,1.45914
36,9.60506e-06,1.47087
37,9.63748e-06,1.46578
38,9.63692e-06,1.4649
39,9.55649e-06,1.47158
40,9.49509e-06,1.47956
41,9.45603e-06,1.48111
42,9.38291e-06,1.48935
43,9.31091e-06,1.49651
44,9.24118e-06,1.50372
45,9.21358e-06,1.50583
46,9.17174e-06,1.50935
47,9.11462e-06,1.51513
48,9.09806e-06,1.51721
49,9.11372e-06,1.51563
50,9.04875e-06,1.52253
51,9.00183e-06,1.52631
52,9.00536e-06,1.52619
53,8.96049e-06,1.53115
54,8.90746e-06,1.53596
55,8.89524e-06,1.53664
56,8.78891e-06,1.54877
57,8.7943e-06,1.54605
58,8.7475e-06,1.55225
59,8.7042e-06,1.55719
60,8.68821e-06,1.55649
61,8.65676e-06,1.5615
62,8.63447e-06,1.5635
63,8.61549e-06,1.56292
64,8.58508e-06,1.56578
65,8.52997e-06,1.57315
66,8.50324e-06,1.57642
67,8.45661e-06,1.5828
68,8.42926e-06,1.58406
69,8.42815e-06,1.58569
70,8.4196e-06,1.58563
71,8.42747e-06,1.58347
72,8.40679e-06,1.58547
73,8.31033e-06,1.59711
74,8.34636e-06,1.59094
75,8.29112e-06,1.59828
76,8.25732e-06,1.60114
77,8.21481e-06,1.6079
78,8.24075e-06,1.60318
79,8.20991e-06,1.60666
80,8.18111e-06,1.61085
81,8.15087e-06,1.61548
82,8.15927e-06,1.61211
83,8.15359e-06,1.6131
84,8.10067e-06,1.62028
85,8.09413e-06,1.62015
86,8.09028e-06,1.62088
87,8.03957e-06,1.62786
88,8.03636e-06,1.62781
89,8.05618e-06,1.62418
90,8.00767e-06,1.63062
91,8.00688e-06,1.63088
92,7.99037e-06,1.6319
93,7.98521e-06,1.63211
94,7.97624e-06,1.63421
95,7.94883e-06,1.63828
96,7.97846e-06,1.63184
97,7.94879e-06,1.63813
98,7.9295e-06,1.64011
99,7.92325e-06,1.63897
100,7.90898e-06,1.64081
101,7.89207e-06,1.6438
102,7.88302e-06,1.64541
103,7.88355e-06,1.6446
104,7.87451e-06,1.64505
105,7.86688e-06,1.64652
106,7.85791e-06,1.64789
107,7.85195e-06,1.6494
108,7.85155e-06,1.64837
109,7.84779e-06,1.64851
110,7.82617e-06,1.65039
111,7.8436e-06,1.64887
112,7.84054e-06,1.6483
113,7.8182e-06,1.65242
114,7.81681e-06,1.65194
115,7.79963e-06,1.65467
116,7.80931e-06,1.65298
117,7.80149e-06,1.65474
118,7.78433e-06,1.65613
119,7.78857e-06,1.65614
120,7.79255e-06,1.65698
121,7.78895e-06,1.65632
122,7.7793e-06,1.65882
123,7.79532e-06,1.65582
124,7.79526e-06,1.65405
125,7.79919e-06,1.65324
126,7.80015e-06,1.65374
127,7.79851e-06,1.65445
128,7.82818e-06,1.6505
129,7.78519e-06,1.65683
130,7.81026e-06,1.65218
131,7.82493e-06,1.65037
132,7.77449e-06,1.65691
133,7.79076e-06,1.65331
134,7.80092e-06,1.65363
135,7.79342e-06,1.6542
136,7.80539e-06,1.65243
137,7.80586e-06,1.65225
138,7.8081e-06,1.65119
139,7.79118e-06,1.65346
140,7.80514e-06,1.65101
141,7.7913e-06,1.65379
142,7.78954e-06,1.65228
143,7.78905e-06,1.65261
144,7.78804e-06,1.65492
145,7.81585e-06,1.64989
146,7.80374e-06,1.65111
147,7.8157e-06,1.65172
148,7.82957e-06,1.64876
149,7.82056e-06,1.64968
150,7.81049e-06,1.65206
151,7.83396e-06,1.64665
152,7.82751e-06,1.64962
153,7.84717e-06,1.64607
154,7.8204e-06,1.64843
155,7.83409e-06,1.6479
156,7.81733e-06,1.64914
157,7.84366e-06,1.64568
158,7.85187e-06,1.64467
159,7.84049e-06,1.6455
160,7.84737e-06,1.6436
161,7.81887e-06,1.64999
162,7.83825e-06,1.64623
163,7.8139e-06,1.64999
164,7.83448e-06,1.64596
165,7.82169e-06,1.65013
166,7.83565e-06,1.64801
167,7.86076e-06,1.64262
168,7.85198e-06,1.64545
169,7.86665e-06,1.6423
170,7.8597e-06,1.64417
171,7.88905e-06,1.6388
172,7.85403e-06,1.64532
173,7.8655e-06,1.64207
174,7.87114e-06,1.64218
175,7.86317e-06,1.6426
176,7.86822e-06,1.6426
177,7.87316e-06,1.64165
178,7.88833e-06,1.64087
179,7.90111e-06,1.63674
180,7.88672e-06,1.63908
181,7.88444e-06,1.64052
182,7.88213e-06,1.64033
183,7.8945e-06,1.63929
184,7.89279e-06,1.63899
185,7.90139e-06,1.63873
186,7.91912e-06,1.63497
187,7.90273e-06,1.63721
188,7.92771e-06,1.6333
189,7.90283e-06,1.63751
190,7.92706e-06,1.6345
191,7.91755e-06,1.63507
192,7.92015e-06,1.63493
193,7.94511e-06,1.63144
194,7.95354e-06,1.63241
195,7.96753e-06,1.62881
196,7.97331e-06,1.62848
197,7.95192e-06,1.63245
198,7.96973e-06,1.62701
199,7.97617e-06,1.6279
200,7.96734e-06,1.62757
201,7.97148e-06,1.62925
202,7.98245e-06,1.62563
203,7.96051e-06,1.63138
204,7.98425e-06,1.62674
205,7.99823e-06,1.62591
206,7.99145e-06,1.6265
207,8.01223e-06,1.62212
208,8.01949e-06,1.62108
209,8.01819e-06,1.62241
210,8.01165e-06,1.62232
211,8.03235e-06,1.62112
212,8.00633e-06,1.62402
213,8.05952e-06,1.61805
214,8.05262e-06,1.61806
215,8.05456e-06,1.61668
216,8.05704e-06,1.61725
217,8.04969e-06,1.61731
218,8.04877e-06,1.61839
219,8.05796e-06,1.61634
220,8.06886e-06,1.61535
221,8.05034e-06,1.61789
222,8.05522e-06,1.61736
223,8.07274e-06,1.61344
224,8.0603e-06,1.61785
225,8.06324e-06,1.61564
226,8.07677e-06,1.61427
227,8.07035e-06,1.61507
228,8.11411e-06,1.60904
229,8.14388e-06,1.60447
230,8.14592e-06,1.60324
231,8.1145e-06,1.61123
232,8.14501e-06,1.60378
233,8.12488e-06,1.60618
234,8.1183e-06,1.60978
235,8.08948e-06,1.61204
236,8.10309e-06,1.61056
237,8.11421e-06,1.60762
238,8.09949e-06,1.61171
239,8.13112e-06,1.6065
240,8.11927e-06,1.60801
241,8.1377e-06,1.60616
242,8.15099e-06,1.60432
243,8.14496e-06,1.60471
244,8.12475e-06,1.60861
245,8.14518e-06,1.60529
246,8.14938e-06,1.6045
247,8.16127e-06,1.60429
248,8.1842e-06,1.6004
249,8.16001e-06,1.60269
250,8.18801e-06,1.59954
251,8.16787e-06,1.60257
252,8.18611e-06,1.59904
253,8.18606e-06,1.60135
254,8.18554e-06,1.59909
255,8.19436e-06,1.59981
256,8.21986e-06,1.59497
257,8.21506e-06,1.5957
258,8.20888e-06,1.59758
259,8.2323e-06,1.59358
260,8.21822e-06,1.59693
261,8.23561e-06,1.59298
262,8.23473e-06,1.59482
263,8.22939e-06,1.59666
264,8.25372e-06,1.59122
265,8.26842e-06,1.58956
266,8.26259e-06,1.59006
267,8.28056e-06,1.58831
268,8.26132e-06,1.59055
269,8.25693e-06,1.59189
270,8.2989e-06,1.58612
271,8.29892e-06,1.58636
272,8.30844e-06,1.58351
273,8.29094e-06,1.58733
274,8.31214e-06,1.58238
275,8.30937e-06,1.58333
276,8.29008e-06,1.58734
277,8.28467e-06,1.5863
278,8.31129e-06,1.58541
279,8.31618e-06,1.58395
280,8.3218e-06,1.58254
281,8.31691e-06,1.58387
282,8.34343e-06,1.57902
283,8.33566e-06,1.58197
284,8.32982e-06,1.58074
285,8.3355e-06,1.58189
286,8.33526e-06,1.58144
287,8.34823e-06,1.57858
288,8.34537e-06,1.58035
289,8.37523e-06,1.57764
290,8.38671e-06,1.57311
291,8.37064e-06,1.57592
292,8.38872e-06,1.57507
293,8.38879e-06,1.57346
294,8.39814e-06,1.57235
295,8.36578e-06,1.57804
296,8.39227e-06,1.57359
297,8.38089e-06,1.57386
298,8.41e-06,1.57315
299,8.4014e-06,1.57246
300,8.41494e-06,1.57027
301,8.40211e-06,1.57395
302,8.42217e-06,1.56998
303,8.44636e-06,1.56696
304,8.47268e-06,1.56378
305,8.49519e-06,1.55913
306,8.44182e-06,1.56686
307,8.46163e-06,1.5658
308,8.44682e-06,1.56652
309,8.47917e-06,1.56253
310,8.49204e-06,1.55894
311,8.44706e-06,1.56789
312,8.48581e-06,1.56265
313,8.46964e-06,1.56391
